/projectnb/ivc-ml/mqraitem/.conda/envs/geo/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
iteration started
 14%|█▎        | 150/1106 [02:24<14:37,  1.09it/s]
Epoch: 0, iteration: 0, loss: 25.771900177001953

Epoch: 0, iteration: 10, loss: 15.06312084197998

Epoch: 0, iteration: 20, loss: 10.460766792297363

Epoch: 0, iteration: 30, loss: 4.304959774017334

Epoch: 0, iteration: 40, loss: 11.723299980163574

Epoch: 0, iteration: 50, loss: 5.633255958557129

Epoch: 0, iteration: 60, loss: 1.6865772008895874

Epoch: 0, iteration: 70, loss: 2.564279079437256

Epoch: 0, iteration: 80, loss: 3.6939806938171387

Epoch: 0, iteration: 90, loss: 12.091175079345703

Epoch: 0, iteration: 100, loss: 5.200851917266846

Epoch: 0, iteration: 110, loss: 4.731583118438721

Epoch: 0, iteration: 120, loss: 5.121329307556152

Epoch: 0, iteration: 130, loss: 2.7899131774902344

Epoch: 0, iteration: 140, loss: 2.0812249183654785

Epoch: 0, iteration: 150, loss: 3.255718231201172

Epoch: 0, iteration: 160, loss: 4.970188140869141

Epoch: 0, iteration: 170, loss: 2.2641355991363525

Epoch: 0, iteration: 180, loss: 10.627570152282715

Epoch: 0, iteration: 190, loss: 3.609863519668579

Epoch: 0, iteration: 200, loss: 1.7501447200775146

Epoch: 0, iteration: 210, loss: 1.9372022151947021

Epoch: 0, iteration: 220, loss: 3.6928820610046387

Epoch: 0, iteration: 230, loss: 1.92560875415802

Epoch: 0, iteration: 240, loss: 1.7166999578475952

Epoch: 0, iteration: 250, loss: 0.9883426427841187

Epoch: 0, iteration: 260, loss: 1.3467597961425781

Epoch: 0, iteration: 270, loss: 1.4496122598648071

Epoch: 0, iteration: 280, loss: 1.5877870321273804

Epoch: 0, iteration: 290, loss: 2.9844510555267334

Epoch: 0, iteration: 300, loss: 6.622934341430664

Epoch: 0, iteration: 310, loss: 2.390199661254883

Epoch: 0, iteration: 320, loss: 5.131786823272705

Epoch: 0, iteration: 330, loss: 2.319430112838745

Epoch: 0, iteration: 340, loss: 3.9129254817962646

Epoch: 0, iteration: 350, loss: 1.8815735578536987

Epoch: 0, iteration: 360, loss: 1.5008220672607422

Epoch: 0, iteration: 370, loss: 2.7871313095092773

Epoch: 0, iteration: 380, loss: 1.7792632579803467

Epoch: 0, iteration: 390, loss: 1.424210786819458

Epoch: 0, iteration: 400, loss: 2.8601291179656982

Epoch: 0, iteration: 410, loss: 1.008996605873108

Epoch: 0, iteration: 420, loss: 6.306488037109375

Epoch: 0, iteration: 430, loss: 4.3396477699279785

Epoch: 0, iteration: 440, loss: 2.9210562705993652

Epoch: 0, iteration: 450, loss: 1.0960206985473633

Epoch: 0, iteration: 460, loss: 2.1504390239715576

Epoch: 0, iteration: 470, loss: 3.3840548992156982

Epoch: 0, iteration: 480, loss: 1.630695104598999

Epoch: 0, iteration: 490, loss: 1.2178237438201904

Epoch: 0, iteration: 500, loss: 1.529029130935669

Epoch: 0, iteration: 510, loss: 2.0850613117218018

Epoch: 0, iteration: 520, loss: 2.1208059787750244

Epoch: 0, iteration: 530, loss: 1.084631323814392

Epoch: 0, iteration: 540, loss: 8.930123329162598

Epoch: 0, iteration: 550, loss: 2.0399534702301025

Epoch: 0, iteration: 560, loss: 3.047180414199829

Epoch: 0, iteration: 570, loss: 6.578640460968018

Epoch: 0, iteration: 580, loss: 2.0848801136016846

Epoch: 0, iteration: 590, loss: 2.7275915145874023

Epoch: 0, iteration: 600, loss: 2.097837448120117

Epoch: 0, iteration: 610, loss: 1.2122728824615479

Epoch: 0, iteration: 620, loss: 1.8488235473632812

Epoch: 0, iteration: 630, loss: 0.9804093241691589

Epoch: 0, iteration: 640, loss: 1.5079203844070435

Epoch: 0, iteration: 650, loss: 1.7960513830184937

Epoch: 0, iteration: 660, loss: 1.2036842107772827

Epoch: 0, iteration: 670, loss: 2.8427085876464844

Epoch: 0, iteration: 680, loss: 1.340218186378479

Epoch: 0, iteration: 690, loss: 1.1969702243804932

Epoch: 0, iteration: 700, loss: 5.466538429260254

Epoch: 0, iteration: 710, loss: 1.0602792501449585

Epoch: 0, iteration: 720, loss: 0.9147697687149048

Epoch: 0, iteration: 730, loss: 3.534118175506592

Epoch: 0, iteration: 740, loss: 3.001070261001587

Epoch: 0, iteration: 750, loss: 1.377956509590149

Epoch: 0, iteration: 760, loss: 15.153619766235352

Epoch: 0, iteration: 770, loss: 1.9277660846710205

Epoch: 0, iteration: 780, loss: 1.4547847509384155

Epoch: 0, iteration: 790, loss: 1.388147234916687

Epoch: 0, iteration: 800, loss: 1.2960991859436035

Epoch: 0, iteration: 810, loss: 1.2912757396697998

Epoch: 0, iteration: 820, loss: 2.9607207775115967

Epoch: 0, iteration: 830, loss: 1.0034326314926147

Epoch: 0, iteration: 840, loss: 1.9738126993179321

Epoch: 0, iteration: 850, loss: 1.5210462808609009

Epoch: 0, iteration: 860, loss: 2.458103656768799

Epoch: 0, iteration: 870, loss: 1.8959946632385254

Epoch: 0, iteration: 880, loss: 3.727775812149048

Epoch: 0, iteration: 890, loss: 2.3125393390655518

Epoch: 0, iteration: 900, loss: 1.736228585243225

Epoch: 0, iteration: 910, loss: 2.0338215827941895

Epoch: 0, iteration: 920, loss: 1.1558822393417358

Epoch: 0, iteration: 930, loss: 1.3419766426086426

Epoch: 0, iteration: 940, loss: 2.5842344760894775

Epoch: 0, iteration: 950, loss: 2.6148335933685303

Epoch: 0, iteration: 960, loss: 0.7245457172393799

Epoch: 0, iteration: 970, loss: 1.8377413749694824

Epoch: 0, iteration: 980, loss: 0.9246573448181152

Epoch: 0, iteration: 990, loss: 1.2035714387893677

Epoch: 0, iteration: 1000, loss: 1.4141876697540283

Epoch: 0, iteration: 1010, loss: 1.7517565488815308

Epoch: 0, iteration: 1020, loss: 1.3555781841278076

Epoch: 0, iteration: 1030, loss: 1.3239561319351196

Epoch: 0, iteration: 1040, loss: 1.693709373474121

Epoch: 0, iteration: 1050, loss: 1.3332270383834839

Epoch: 0, iteration: 1060, loss: 1.2743936777114868

Epoch: 0, iteration: 1070, loss: 1.49212646484375

Epoch: 0, iteration: 1080, loss: 0.9444105625152588

Epoch: 0, iteration: 1090, loss: 0.7497482299804688

Epoch: 0, iteration: 1100, loss: 2.9103355407714844

100%|██████████| 158/158 [01:07<00:00,  2.34it/s]
100%|██████████| 105/105 [00:00<00:00, 557.96it/s]
====================================================================================================
Epoch: 0, val_loss: 1.6708466490109761
 acc_val_0: 0.3685516750331344
 acc_val_1: 0.45109723584388994
 acc_val_2: 0.5095067725659589
 acc_val_3: 0.6615346790140366

====================================================================================================
Checkpoint saved at /usr4/cs505/mqraitem/ivc-ml/geo/Prithvi-data-distance/Northeast/regression_freeze-False_modelsize-300m_loadcheckpoint-True/learningrate-0.001_freeze-False_classweights-False_model_size-300m_load_checkpoint-True.pth
iteration started
 14%|█▎        | 150/1106 [02:18<14:38,  1.09it/s]
Epoch: 1, iteration: 0, loss: 4.30151891708374

Epoch: 1, iteration: 10, loss: 2.125317096710205

